,Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,
,slc.52.1830.04,52,1830,04,Sources of Capital Fund Financing - Capital Grants - Canada,Residential development,
,slc.52.1830.05,52,1830,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Residential development,
,slc.52.1830.06,52,1830,06,Sources of Capital Fund Financing - Other Municipalities,Residential development,
,slc.52.1830.07,52,1830,07,Sources of Capital Fund Financing - Other Financing,Residential development,
,slc.52.1830.08,52,1830,08,Expenditures - Amounts for Unfunded Liabilities,Residential development,
,slc.52.1830.09,52,1830,09,Expenditures - CAPITAL Expenditures,Residential development,
,slc.52.1830.10,52,1830,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Residential development,
,slc.52.1840.01,52,1840,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Agriculture and reforestation,
,slc.52.1840.02,52,1840,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Agriculture and reforestation,
,slc.52.1840.03,52,1840,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Agriculture and reforestation,
,slc.52.1840.04,52,1840,04,Sources of Capital Fund Financing - Capital Grants - Canada,Agriculture and reforestation,
,slc.52.1840.05,52,1840,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Agriculture and reforestation,
,slc.52.1840.06,52,1840,06,Sources of Capital Fund Financing - Other Municipalities,Agriculture and reforestation,
,slc.52.1840.07,52,1840,07,Sources of Capital Fund Financing - Other Financing,Agriculture and reforestation,
,slc.52.1840.08,52,1840,08,Expenditures - Amounts for Unfunded Liabilities,Agriculture and reforestation,
,slc.52.1840.09,52,1840,09,Expenditures - CAPITAL Expenditures,Agriculture and reforestation,
,slc.52.1840.10,52,1840,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Agriculture and reforestation,
,slc.52.1850.01,52,1850,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Tile drainage/shoreline assistance,
,slc.52.1850.02,52,1850,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Tile drainage/shoreline assistance,
,slc.52.1850.03,52,1850,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Tile drainage/shoreline assistance,
,slc.52.1850.04,52,1850,04,Sources of Capital Fund Financing - Capital Grants - Canada,Tile drainage/shoreline assistance,
,slc.52.1850.05,52,1850,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Tile drainage/shoreline assistance,
,slc.52.1850.06,52,1850,06,Sources of Capital Fund Financing - Other Municipalities,Tile drainage/shoreline assistance,
,slc.52.1850.07,52,1850,07,Sources of Capital Fund Financing - Other Financing,Tile drainage/shoreline assistance,
,slc.52.1850.08,52,1850,08,Expenditures - Amounts for Unfunded Liabilities,Tile drainage/shoreline assistance,
,slc.52.1850.09,52,1850,09,Expenditures - CAPITAL Expenditures,Tile drainage/shoreline assistance,
,slc.52.1850.10,52,1850,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Tile drainage/shoreline assistance,
,slc.52.1898.01,52,1898,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Please specify,
,slc.52.1898.02,52,1898,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Please specify,
,slc.52.1898.03,52,1898,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Please specify,
,slc.52.1898.04,52,1898,04,Sources of Capital Fund Financing - Capital Grants - Canada,Please specify,
,slc.52.1898.05,52,1898,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Please specify,
,slc.52.1898.06,52,1898,06,Sources of Capital Fund Financing - Other Municipalities,Please specify,
,slc.52.1898.07,52,1898,07,Sources of Capital Fund Financing - Other Financing,Please specify,
,slc.52.1898.08,52,1898,08,Expenditures - Amounts for Unfunded Liabilities,Please specify,
,slc.52.1898.09,52,1898,09,Expenditures - CAPITAL Expenditures,Please specify,
,slc.52.1898.10,52,1898,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Please specify,
,slc.52.1899.01,52,1899,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Subtotal,
,slc.52.1899.02,52,1899,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Subtotal,
,slc.52.1899.03,52,1899,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Subtotal,
,slc.52.1899.04,52,1899,04,Sources of Capital Fund Financing - Capital Grants - Canada,Subtotal,
,slc.52.1899.05,52,1899,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Subtotal,
,slc.52.1899.06,52,1899,06,Sources of Capital Fund Financing - Other Municipalities,Subtotal,
,slc.52.1899.07,52,1899,07,Sources of Capital Fund Financing - Other Financing,Subtotal,
,slc.52.1899.08,52,1899,08,Expenditures - Amounts for Unfunded Liabilities,Subtotal,
,slc.52.1899.09,52,1899,09,Expenditures - CAPITAL Expenditures,Subtotal,
,slc.52.1899.10,52,1899,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Subtotal,
,slc.52.1910.01,52,1910,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Please specify,
,slc.52.1910.02,52,1910,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Please specify,
,slc.52.1910.03,52,1910,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Please specify,
,slc.52.1910.04,52,1910,04,Sources of Capital Fund Financing - Capital Grants - Canada,Please specify,
,slc.52.1910.05,52,1910,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Please specify,
,slc.52.1910.06,52,1910,06,Sources of Capital Fund Financing - Other Municipalities,Please specify,
,slc.52.1910.07,52,1910,07,Sources of Capital Fund Financing - Other Financing,Please specify,
,slc.52.1910.08,52,1910,08,Expenditures - Amounts for Unfunded Liabilities,Please specify,
,slc.52.1910.09,52,1910,09,Expenditures - CAPITAL Expenditures,Please specify,
,slc.52.1910.10,52,1910,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Please specify,
,slc.52.3099.01,52,3099,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Electricity,
,slc.52.3099.02,52,3099,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Electricity,
,slc.52.3099.03,52,3099,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Electricity,
,slc.52.3099.04,52,3099,04,Sources of Capital Fund Financing - Capital Grants - Canada,Electricity,
,slc.52.3099.05,52,3099,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Electricity,
,slc.52.3099.06,52,3099,06,Sources of Capital Fund Financing - Other Municipalities,Electricity,
,slc.52.3099.07,52,3099,07,Sources of Capital Fund Financing - Other Financing,Electricity,
,slc.52.3099.08,52,3099,08,Expenditures - Amounts for Unfunded Liabilities,Electricity,
,slc.52.3099.09,52,3099,09,Expenditures - CAPITAL Expenditures,Electricity,
,slc.52.3099.10,52,3099,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Electricity,
,slc.52.3299.01,52,3299,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Gas,
,slc.52.3299.02,52,3299,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Gas,
,slc.52.3299.03,52,3299,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Gas,
,slc.52.3299.04,52,3299,04,Sources of Capital Fund Financing - Capital Grants - Canada,Gas,
,slc.52.3299.05,52,3299,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Gas,
,slc.52.3299.06,52,3299,06,Sources of Capital Fund Financing - Other Municipalities,Gas,
,slc.52.3299.07,52,3299,07,Sources of Capital Fund Financing - Other Financing,Gas,
,slc.52.3299.08,52,3299,08,Expenditures - Amounts for Unfunded Liabilities,Gas,
,slc.52.3299.09,52,3299,09,Expenditures - CAPITAL Expenditures,Gas,
,slc.52.3299.10,52,3299,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Gas,
,slc.52.3499.01,52,3499,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Telephone,
,slc.52.3499.02,52,3499,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Telephone,
,slc.52.3499.03,52,3499,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Telephone,
,slc.52.3499.04,52,3499,04,Sources of Capital Fund Financing - Capital Grants - Canada,Telephone,
,slc.52.3499.05,52,3499,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Telephone,
,slc.52.3499.06,52,3499,06,Sources of Capital Fund Financing - Other Municipalities,Telephone,
,slc.52.3499.07,52,3499,07,Sources of Capital Fund Financing - Other Financing,Telephone,
,slc.52.3499.08,52,3499,08,Expenditures - Amounts for Unfunded Liabilities,Telephone,
,slc.52.3499.09,52,3499,09,Expenditures - CAPITAL Expenditures,Telephone,
,slc.52.3499.10,52,3499,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Telephone,
,slc.52.3699.01,52,3699,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Government Business Enterprise,
,slc.52.3699.02,52,3699,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Government Business Enterprise,
,slc.52.3699.03,52,3699,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Government Business Enterprise,
,slc.52.3699.04,52,3699,04,Sources of Capital Fund Financing - Capital Grants - Canada,Government Business Enterprise,
,slc.52.3699.05,52,3699,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Government Business Enterprise,
,slc.52.3699.06,52,3699,06,Sources of Capital Fund Financing - Other Municipalities,Government Business Enterprise,
,slc.52.3699.07,52,3699,07,Sources of Capital Fund Financing - Other Financing,Government Business Enterprise,
,slc.52.3699.08,52,3699,08,Expenditures - Amounts for Unfunded Liabilities,Government Business Enterprise,
,slc.52.3699.09,52,3699,09,Expenditures - CAPITAL Expenditures,Government Business Enterprise,
,slc.52.3699.10,52,3699,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Government Business Enterprise,
,slc.52.5099.01,52,5099,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,Non-Functionalized Amounts,
,slc.52.5099.02,52,5099,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",Non-Functionalized Amounts,
,slc.52.5099.03,52,5099,03,Sources of Capital Fund Financing - Capital Grants - Ontario,Non-Functionalized Amounts,
,slc.52.5099.04,52,5099,04,Sources of Capital Fund Financing - Capital Grants - Canada,Non-Functionalized Amounts,
,slc.52.5099.05,52,5099,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,Non-Functionalized Amounts,
,slc.52.5099.06,52,5099,06,Sources of Capital Fund Financing - Other Municipalities,Non-Functionalized Amounts,
,slc.52.5099.07,52,5099,07,Sources of Capital Fund Financing - Other Financing,Non-Functionalized Amounts,
,slc.52.5099.08,52,5099,08,Expenditures - Amounts for Unfunded Liabilities,Non-Functionalized Amounts,
,slc.52.5099.09,52,5099,09,Expenditures - CAPITAL Expenditures,Non-Functionalized Amounts,
,slc.52.5099.10,52,5099,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,Non-Functionalized Amounts,
,slc.52.9910.01,52,9910,01,Sources of Capital Fund Financing - Contributions from Own Funds - Revenue Fund,TOTAL,
,slc.52.9910.02,52,9910,02,"Sources of Capital Fund Financing - Contributions from Own Funds - Reserves, Reserve Fund, Deferred Revenue",TOTAL,
,slc.52.9910.03,52,9910,03,Sources of Capital Fund Financing - Capital Grants - Ontario,TOTAL,
,slc.52.9910.04,52,9910,04,Sources of Capital Fund Financing - Capital Grants - Canada,TOTAL,
,slc.52.9910.05,52,9910,05,Sources of Capital Fund Financing - Capital Grants - Canada Gas Tax Funding,TOTAL,
,slc.52.9910.06,52,9910,06,Sources of Capital Fund Financing - Other Municipalities,TOTAL,
,slc.52.9910.07,52,9910,07,Sources of Capital Fund Financing - Other Financing,TOTAL,
,slc.52.9910.08,52,9910,08,Expenditures - Amounts for Unfunded Liabilities,TOTAL,
,slc.52.9910.09,52,9910,09,Expenditures - CAPITAL Expenditures,TOTAL,
,slc.52.9910.10,52,9910,10,Expenditures - CAPITAL Expenditures LESS Unfunded Liabilities,TOTAL,
,slc.60.299.01,60,299,01,"Obligatory Reserve Funds, Deferred Revenue","Balance, beginning of year",
,slc.60.299.02,60,299,02,Discretionary Reserve Funds,"Balance, beginning of year",
,slc.60.299.03,60,299,03,Reserves,"Balance, beginning of year",
,slc.60.410.01,60,410,01,"Obligatory Reserve Funds, Deferred Revenue",Contributions from revenue fund,
,slc.60.410.02,60,410,02,Discretionary Reserve Funds,Contributions from revenue fund,
,slc.60.410.03,60,410,03,Reserves,Contributions from revenue fund,
,slc.60.420.01,60,420,01,"Obligatory Reserve Funds, Deferred Revenue",Contributions from capital fund,
,slc.60.420.02,60,420,02,Discretionary Reserve Funds,Contributions from capital fund,
,slc.60.420.03,60,420,03,Reserves,Contributions from capital fund,
,slc.60.499.01,60,499,01,"Obligatory Reserve Funds, Deferred Revenue",Subtotal,
,slc.60.499.02,60,499,02,Discretionary Reserve Funds,Subtotal,
,slc.60.499.03,60,499,03,Reserves,Subtotal,
,slc.60.610.01,60,610,01,"Obligatory Reserve Funds, Deferred Revenue",Non-discounted services,
,slc.60.610.02,60,610,02,Discretionary Reserve Funds,Non-discounted services,
,slc.60.610.03,60,610,03,Reserves,Non-discounted services,
,slc.60.620.01,60,620,01,"Obligatory Reserve Funds, Deferred Revenue",Discounted services,
,slc.60.620.02,60,620,02,Discretionary Reserve Funds,Discounted services,
,slc.60.620.03,60,620,03,Reserves,Discounted services,
,slc.60.630.01,60,630,01,"Obligatory Reserve Funds, Deferred Revenue",Credits utilized (Development Charges Act),
,slc.60.630.02,60,630,02,Discretionary Reserve Funds,Credits utilized (Development Charges Act),
,slc.60.630.03,60,630,03,Reserves,Credits utilized (Development Charges Act),
,slc.60.699.01,60,699,01,"Obligatory Reserve Funds, Deferred Revenue",Subtotal Development Charges Act,
,slc.60.699.02,60,699,02,Discretionary Reserve Funds,Subtotal Development Charges Act,
,slc.60.699.03,60,699,03,Reserves,Subtotal Development Charges Act,
,slc.60.810.01,60,810,01,"Obligatory Reserve Funds, Deferred Revenue",Lot levies,
,slc.60.810.02,60,810,02,Discretionary Reserve Funds,Lot levies,
,slc.60.810.03,60,810,03,Reserves,Lot levies,
,slc.60.820.01,60,820,01,"Obligatory Reserve Funds, Deferred Revenue",Subdivider contributions,
,slc.60.820.02,60,820,02,Discretionary Reserve Funds,Subdivider contributions,
,slc.60.820.03,60,820,03,Reserves,Subdivider contributions,
,slc.60.830.01,60,830,01,"Obligatory Reserve Funds, Deferred Revenue",Recreational land (the Planning Act),
,slc.60.830.02,60,830,02,Discretionary Reserve Funds,Recreational land (the Planning Act),
,slc.60.830.03,60,830,03,Reserves,Recreational land (the Planning Act),
,slc.60.840.01,60,840,01,"Obligatory Reserve Funds, Deferred Revenue",From own funds,
,slc.60.840.02,60,840,02,Discretionary Reserve Funds,From own funds,
,slc.60.840.03,60,840,03,Reserves,From own funds,
,slc.60.850.01,60,850,01,"Obligatory Reserve Funds, Deferred Revenue",From other,
,slc.60.850.02,60,850,02,Discretionary Reserve Funds,From other,
,slc.60.850.03,60,850,03,Reserves,From other,
,slc.60.860.01,60,860,01,"Obligatory Reserve Funds, Deferred Revenue",Gasoline Tax - Province,
,slc.60.860.02,60,860,02,Discretionary Reserve Funds,Gasoline Tax - Province,
,slc.60.860.03,60,860,03,Reserves,Gasoline Tax - Province,
,slc.60.861.01,60,861,01,"Obligatory Reserve Funds, Deferred Revenue","Building Code Act, 1992 (Section 2.23)",
,slc.60.861.02,60,861,02,Discretionary Reserve Funds,"Building Code Act, 1992 (Section 2.23)",
,slc.60.861.03,60,861,03,Reserves,"Building Code Act, 1992 (Section 2.23)",
,slc.60.862.01,60,862,01,"Obligatory Reserve Funds, Deferred Revenue",Gasoline Tax - Federal,
,slc.60.862.02,60,862,02,Discretionary Reserve Funds,Gasoline Tax - Federal,
,slc.60.862.03,60,862,03,Reserves,Gasoline Tax - Federal,
,slc.60.863.01,60,863,01,"Obligatory Reserve Funds, Deferred Revenue",Canada transit funding (Bill C-48),
,slc.60.863.02,60,863,02,Discretionary Reserve Funds,Canada transit funding (Bill C-48),
,slc.60.863.03,60,863,03,Reserves,Canada transit funding (Bill C-48),
,slc.60.864.01,60,864,01,"Obligatory Reserve Funds, Deferred Revenue",Building Canada Fund (BCF),
,slc.60.864.02,60,864,02,Discretionary Reserve Funds,Building Canada Fund (BCF),
,slc.60.864.03,60,864,03,Reserves,Building Canada Fund (BCF),
,slc.60.870.01,60,870,01,"Obligatory Reserve Funds, Deferred Revenue",Inter - Reserve Fund/Reserves Transfer,
,slc.60.870.02,60,870,02,Discretionary Reserve Funds,Inter - Reserve Fund/Reserves Transfer,
,slc.60.870.03,60,870,03,Reserves,Inter - Reserve Fund/Reserves Transfer,
,slc.60.895.01,60,895,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.895.02,60,895,02,Discretionary Reserve Funds,Please specify,
,slc.60.895.03,60,895,03,Reserves,Please specify,
,slc.60.896.01,60,896,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.896.02,60,896,02,Discretionary Reserve Funds,Please specify,
,slc.60.896.03,60,896,03,Reserves,Please specify,
,slc.60.897.01,60,897,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.897.02,60,897,02,Discretionary Reserve Funds,Please specify,
,slc.60.897.03,60,897,03,Reserves,Please specify,
,slc.60.898.01,60,898,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.898.02,60,898,02,Discretionary Reserve Funds,Please specify,
,slc.60.898.03,60,898,03,Reserves,Please specify,
,slc.60.1010.01,60,1010,01,"Obligatory Reserve Funds, Deferred Revenue",Transferred to capital fund,
,slc.60.1010.02,60,1010,02,Discretionary Reserve Funds,Transferred to capital fund,
,slc.60.1010.03,60,1010,03,Reserves,Transferred to capital fund,
,slc.60.1020.01,60,1020,01,"Obligatory Reserve Funds, Deferred Revenue",Transferred to revenue fund,
,slc.60.1020.02,60,1020,02,Discretionary Reserve Funds,Transferred to revenue fund,
,slc.60.1020.03,60,1020,03,Reserves,Transferred to revenue fund,
,slc.60.1030.01,60,1030,01,"Obligatory Reserve Funds, Deferred Revenue",Charges for long term liabilities - principal and interest,
,slc.60.1030.02,60,1030,02,Discretionary Reserve Funds,Charges for long term liabilities - principal and interest,
,slc.60.1030.03,60,1030,03,Reserves,Charges for long term liabilities - principal and interest,
,slc.60.1040.01,60,1040,01,"Obligatory Reserve Funds, Deferred Revenue",Development Charges Act - Credits utilized (Capital Fund),
,slc.60.1040.02,60,1040,02,Discretionary Reserve Funds,Development Charges Act - Credits utilized (Capital Fund),
,slc.60.1040.03,60,1040,03,Reserves,Development Charges Act - Credits utilized (Capital Fund),
,slc.60.1050.01,60,1050,01,"Obligatory Reserve Funds, Deferred Revenue",Development Charges Act - Credits utilized (Revenue Fund),
,slc.60.1050.02,60,1050,02,Discretionary Reserve Funds,Development Charges Act - Credits utilized (Revenue Fund),
,slc.60.1050.03,60,1050,03,Reserves,Development Charges Act - Credits utilized (Revenue Fund),
,slc.60.1070.01,60,1070,01,"Obligatory Reserve Funds, Deferred Revenue",Inter - Reserve Fund/Reserves Transfer,
,slc.60.1070.02,60,1070,02,Discretionary Reserve Funds,Inter - Reserve Fund/Reserves Transfer,
,slc.60.1070.03,60,1070,03,Reserves,Inter - Reserve Fund/Reserves Transfer,
,slc.60.1096.01,60,1096,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.1096.02,60,1096,02,Discretionary Reserve Funds,Please specify,
,slc.60.1096.03,60,1096,03,Reserves,Please specify,
,slc.60.1097.01,60,1097,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.1097.02,60,1097,02,Discretionary Reserve Funds,Please specify,
,slc.60.1097.03,60,1097,03,Reserves,Please specify,
,slc.60.1098.01,60,1098,01,"Obligatory Reserve Funds, Deferred Revenue",Please specify,
,slc.60.1098.02,60,1098,02,Discretionary Reserve Funds,Please specify,
,slc.60.1098.03,60,1098,03,Reserves,Please specify,
,slc.60.2099.01,60,2099,01,"Obligatory Reserve Funds, Deferred Revenue","Balance, end of year",
,slc.60.2099.02,60,2099,02,Discretionary Reserve Funds,"Balance, end of year",
,slc.60.2099.03,60,2099,03,Reserves,"Balance, end of year",
,slc.60.5010.01,60,5010,01,"Obligatory Reserve Funds, Deferred Revenue",Working funds,
,slc.60.5010.02,60,5010,02,Discretionary Reserve Funds,Working funds,
,slc.60.5010.03,60,5010,03,Reserves,Working funds,
,slc.60.5020.01,60,5020,01,"Obligatory Reserve Funds, Deferred Revenue",Contingencies,
,slc.60.5020.02,60,5020,02,Discretionary Reserve Funds,Contingencies,
,slc.60.5020.03,60,5020,03,Reserves,Contingencies,
,slc.60.5030.01,60,5030,01,"Obligatory Reserve Funds, Deferred Revenue","Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Sewer",
,slc.60.5030.02,60,5030,02,Discretionary Reserve Funds,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Sewer",
,slc.60.5030.03,60,5030,03,Reserves,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Sewer",
,slc.60.5040.01,60,5040,01,"Obligatory Reserve Funds, Deferred Revenue","Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Water",
,slc.60.5040.02,60,5040,02,Discretionary Reserve Funds,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Water",
,slc.60.5040.03,60,5040,03,Reserves,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Water",
,slc.60.5050.01,60,5050,01,"Obligatory Reserve Funds, Deferred Revenue",Replacement of equipment,
,slc.60.5050.02,60,5050,02,Discretionary Reserve Funds,Replacement of equipment,
,slc.60.5050.03,60,5050,03,Reserves,Replacement of equipment,
,slc.60.5060.01,60,5060,01,"Obligatory Reserve Funds, Deferred Revenue",Sick leave,
,slc.60.5060.02,60,5060,02,Discretionary Reserve Funds,Sick leave,
,slc.60.5060.03,60,5060,03,Reserves,Sick leave,
,slc.60.5070.01,60,5070,01,"Obligatory Reserve Funds, Deferred Revenue",Insurance,
,slc.60.5070.02,60,5070,02,Discretionary Reserve Funds,Insurance,
,slc.60.5070.03,60,5070,03,Reserves,Insurance,
,slc.60.5080.01,60,5080,01,"Obligatory Reserve Funds, Deferred Revenue",Workplace Safety and Insurance Board (WSIB),
,slc.60.5080.02,60,5080,02,Discretionary Reserve Funds,Workplace Safety and Insurance Board (WSIB),
,slc.60.5080.03,60,5080,03,Reserves,Workplace Safety and Insurance Board (WSIB),
,slc.60.5090.01,60,5090,01,"Obligatory Reserve Funds, Deferred Revenue",Post-employment benefits,
,slc.60.5090.02,60,5090,02,Discretionary Reserve Funds,Post-employment benefits,
,slc.60.5090.03,60,5090,03,Reserves,Post-employment benefits,
,slc.60.5205.01,60,5205,01,"Obligatory Reserve Funds, Deferred Revenue",General government,
,slc.60.5205.02,60,5205,02,Discretionary Reserve Funds,General government,
,slc.60.5205.03,60,5205,03,Reserves,General government,
,slc.60.5210.01,60,5210,01,"Obligatory Reserve Funds, Deferred Revenue",Protection services,
,slc.60.5210.02,60,5210,02,Discretionary Reserve Funds,Protection services,
,slc.60.5210.03,60,5210,03,Reserves,Protection services,
,slc.60.5215.01,60,5215,01,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Roadways,
,slc.60.5215.02,60,5215,02,Discretionary Reserve Funds,Transportation services : Roadways,
,slc.60.5215.03,60,5215,03,Reserves,Transportation services : Roadways,
,slc.60.5220.01,60,5220,01,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Transit,
,slc.60.5220.02,60,5220,02,Discretionary Reserve Funds,Transportation services : Transit,
,slc.60.5220.03,60,5220,03,Reserves,Transportation services : Transit,
,slc.60.5225.01,60,5225,01,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Sanitary sewer system,
,slc.60.5225.02,60,5225,02,Discretionary Reserve Funds,Environmental services : Sanitary sewer system,
,slc.60.5225.03,60,5225,03,Reserves,Environmental services : Sanitary sewer system,
,slc.60.5230.01,60,5230,01,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Storm sewer system,
,slc.60.5230.02,60,5230,02,Discretionary Reserve Funds,Environmental services : Storm sewer system,
,slc.60.5230.03,60,5230,03,Reserves,Environmental services : Storm sewer system,
,slc.60.5235.01,60,5235,01,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Waterworks system,
,slc.60.5235.02,60,5235,02,Discretionary Reserve Funds,Environmental services : Waterworks system,
,slc.60.5235.03,60,5235,03,Reserves,Environmental services : Waterworks system,
,slc.60.5240.01,60,5240,01,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Waste collection,
,slc.60.5240.02,60,5240,02,Discretionary Reserve Funds,Environmental services : Waste collection,
,slc.60.5240.03,60,5240,03,Reserves,Environmental services : Waste collection,
,slc.60.5245.01,60,5245,01,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Waste disposal,
,slc.60.5245.02,60,5245,02,Discretionary Reserve Funds,Environmental services : Waste disposal,
,slc.60.5245.03,60,5245,03,Reserves,Environmental services : Waste disposal,
,slc.60.5250.01,60,5250,01,"Obligatory Reserve Funds, Deferred Revenue",Health services,
,slc.60.5250.02,60,5250,02,Discretionary Reserve Funds,Health services,
,slc.60.5250.03,60,5250,03,Reserves,Health services,
,slc.60.5255.01,60,5255,01,"Obligatory Reserve Funds, Deferred Revenue",Social and family services,
,slc.60.5255.02,60,5255,02,Discretionary Reserve Funds,Social and family services,
,slc.60.5255.03,60,5255,03,Reserves,Social and family services,
,slc.60.5260.01,60,5260,01,"Obligatory Reserve Funds, Deferred Revenue",Social Housing,
,slc.60.5260.02,60,5260,02,Discretionary Reserve Funds,Social Housing,
,slc.60.5260.03,60,5260,03,Reserves,Social Housing,
,slc.60.5265.01,60,5265,01,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Parks,
,slc.60.5265.02,60,5265,02,Discretionary Reserve Funds,Recreation and cultural services : Parks,
,slc.60.5265.03,60,5265,03,Reserves,Recreation and cultural services : Parks,
,slc.60.5270.01,60,5270,01,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Recreation facilities,
,slc.60.5270.02,60,5270,02,Discretionary Reserve Funds,Recreation and cultural services : Recreation facilities,
,slc.60.5270.03,60,5270,03,Reserves,Recreation and cultural services : Recreation facilities,
,slc.60.5271.01,60,5271,01,"Obligatory Reserve Funds, Deferred Revenue","Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.60.5271.02,60,5271,02,Discretionary Reserve Funds,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.60.5271.03,60,5271,03,Reserves,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",
,slc.60.5274.01,60,5274,01,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Recreation facilities - Other,
,slc.60.5274.02,60,5274,02,Discretionary Reserve Funds,Recreation and cultural services : Recreation facilities - Other,
,slc.60.5274.03,60,5274,03,Reserves,Recreation and cultural services : Recreation facilities - Other,
