Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include
slc.51.1698.10,51,1698,10,Closing Amortization Balance,Please specify,,,
slc.51.1698.11,51,1698,11,Closing Net Book Value,Please specify,,,
slc.51.1698.12,51,1698,12,Construction In Progress,Please specify,,,
slc.51.1699.01,51,1699,01,Opening Net Book Value,Subtotal,,,
slc.51.1699.02,51,1699,02,Opening Cost Balance,Subtotal,,,
slc.51.1699.03,51,1699,03,Additions and Betterments,Subtotal,,,
slc.51.1699.04,51,1699,04,Disposals,Subtotal,,,
slc.51.1699.05,51,1699,05,Write Downs,Subtotal,,,
slc.51.1699.06,51,1699,06,Closing Cost Balance,Subtotal,,,
slc.51.1699.07,51,1699,07,Opening Amortization Balance,Subtotal,,,
slc.51.1699.08,51,1699,08,Annual Amortization,Subtotal,,,
slc.51.1699.09,51,1699,09,Amortization Disposal,Subtotal,,,
slc.51.1699.10,51,1699,10,Closing Amortization Balance,Subtotal,,,
slc.51.1699.11,51,1699,11,Closing Net Book Value,Subtotal,,,
slc.51.1699.12,51,1699,12,Construction In Progress,Subtotal,,,
slc.51.1810.01,51,1810,01,Opening Net Book Value,Planning and zoning,,,
slc.51.1810.02,51,1810,02,Opening Cost Balance,Planning and zoning,,,
slc.51.1810.03,51,1810,03,Additions and Betterments,Planning and zoning,,,
slc.51.1810.04,51,1810,04,Disposals,Planning and zoning,,,
slc.51.1810.05,51,1810,05,Write Downs,Planning and zoning,,,
slc.51.1810.06,51,1810,06,Closing Cost Balance,Planning and zoning,,,
slc.51.1810.07,51,1810,07,Opening Amortization Balance,Planning and zoning,,,
slc.51.1810.08,51,1810,08,Annual Amortization,Planning and zoning,,,
slc.51.1810.09,51,1810,09,Amortization Disposal,Planning and zoning,,,
slc.51.1810.10,51,1810,10,Closing Amortization Balance,Planning and zoning,,,
slc.51.1810.11,51,1810,11,Closing Net Book Value,Planning and zoning,,,
slc.51.1810.12,51,1810,12,Construction In Progress,Planning and zoning,,,
slc.51.1820.01,51,1820,01,Opening Net Book Value,Commercial and industrial,,,
slc.51.1820.02,51,1820,02,Opening Cost Balance,Commercial and industrial,,,
slc.51.1820.03,51,1820,03,Additions and Betterments,Commercial and industrial,,,
slc.51.1820.04,51,1820,04,Disposals,Commercial and industrial,,,
slc.51.1820.05,51,1820,05,Write Downs,Commercial and industrial,,,
slc.51.1820.06,51,1820,06,Closing Cost Balance,Commercial and industrial,,,
slc.51.1820.07,51,1820,07,Opening Amortization Balance,Commercial and industrial,,,
slc.51.1820.08,51,1820,08,Annual Amortization,Commercial and industrial,,,
slc.51.1820.09,51,1820,09,Amortization Disposal,Commercial and industrial,,,
slc.51.1820.10,51,1820,10,Closing Amortization Balance,Commercial and industrial,,,
slc.51.1820.11,51,1820,11,Closing Net Book Value,Commercial and industrial,,,
slc.51.1820.12,51,1820,12,Construction In Progress,Commercial and industrial,,,
slc.51.1830.01,51,1830,01,Opening Net Book Value,Residential development,,,
slc.51.1830.02,51,1830,02,Opening Cost Balance,Residential development,,,
slc.51.1830.03,51,1830,03,Additions and Betterments,Residential development,,,
slc.51.1830.04,51,1830,04,Disposals,Residential development,,,
slc.51.1830.05,51,1830,05,Write Downs,Residential development,,,
slc.51.1830.06,51,1830,06,Closing Cost Balance,Residential development,,,
slc.51.1830.07,51,1830,07,Opening Amortization Balance,Residential development,,,
slc.51.1830.08,51,1830,08,Annual Amortization,Residential development,,,
slc.51.1830.09,51,1830,09,Amortization Disposal,Residential development,,,
slc.51.1830.10,51,1830,10,Closing Amortization Balance,Residential development,,,
slc.51.1830.11,51,1830,11,Closing Net Book Value,Residential development,,,
slc.51.1830.12,51,1830,12,Construction In Progress,Residential development,,,
slc.51.1840.01,51,1840,01,Opening Net Book Value,Agriculture and reforestation,,,
slc.51.1840.02,51,1840,02,Opening Cost Balance,Agriculture and reforestation,,,
slc.51.1840.03,51,1840,03,Additions and Betterments,Agriculture and reforestation,,,
slc.51.1840.04,51,1840,04,Disposals,Agriculture and reforestation,,,
slc.51.1840.05,51,1840,05,Write Downs,Agriculture and reforestation,,,
slc.51.1840.06,51,1840,06,Closing Cost Balance,Agriculture and reforestation,,,
slc.51.1840.07,51,1840,07,Opening Amortization Balance,Agriculture and reforestation,,,
slc.51.1840.08,51,1840,08,Annual Amortization,Agriculture and reforestation,,,
slc.51.1840.09,51,1840,09,Amortization Disposal,Agriculture and reforestation,,,
slc.51.1840.10,51,1840,10,Closing Amortization Balance,Agriculture and reforestation,,,
slc.51.1840.11,51,1840,11,Closing Net Book Value,Agriculture and reforestation,,,
slc.51.1840.12,51,1840,12,Construction In Progress,Agriculture and reforestation,,,
slc.51.1850.01,51,1850,01,Opening Net Book Value,Tile drainage/shoreline assistance,,,
slc.51.1850.02,51,1850,02,Opening Cost Balance,Tile drainage/shoreline assistance,,,
slc.51.1850.03,51,1850,03,Additions and Betterments,Tile drainage/shoreline assistance,,,
slc.51.1850.04,51,1850,04,Disposals,Tile drainage/shoreline assistance,,,
slc.51.1850.05,51,1850,05,Write Downs,Tile drainage/shoreline assistance,,,
slc.51.1850.06,51,1850,06,Closing Cost Balance,Tile drainage/shoreline assistance,,,
slc.51.1850.07,51,1850,07,Opening Amortization Balance,Tile drainage/shoreline assistance,,,
slc.51.1850.08,51,1850,08,Annual Amortization,Tile drainage/shoreline assistance,,,
slc.51.1850.09,51,1850,09,Amortization Disposal,Tile drainage/shoreline assistance,,,
slc.51.1850.10,51,1850,10,Closing Amortization Balance,Tile drainage/shoreline assistance,,,
slc.51.1850.11,51,1850,11,Closing Net Book Value,Tile drainage/shoreline assistance,,,
slc.51.1850.12,51,1850,12,Construction In Progress,Tile drainage/shoreline assistance,,,
slc.51.1898.01,51,1898,01,Opening Net Book Value,Please specify,,,
slc.51.1898.02,51,1898,02,Opening Cost Balance,Please specify,,,
slc.51.1898.03,51,1898,03,Additions and Betterments,Please specify,,,
slc.51.1898.04,51,1898,04,Disposals,Please specify,,,
slc.51.1898.05,51,1898,05,Write Downs,Please specify,,,
slc.51.1898.06,51,1898,06,Closing Cost Balance,Please specify,,,
slc.51.1898.07,51,1898,07,Opening Amortization Balance,Please specify,,,
slc.51.1898.08,51,1898,08,Annual Amortization,Please specify,,,
slc.51.1898.09,51,1898,09,Amortization Disposal,Please specify,,,
slc.51.1898.10,51,1898,10,Closing Amortization Balance,Please specify,,,
slc.51.1898.11,51,1898,11,Closing Net Book Value,Please specify,,,
slc.51.1898.12,51,1898,12,Construction In Progress,Please specify,,,
slc.51.1899.01,51,1899,01,Opening Net Book Value,Subtotal,,,
slc.51.1899.02,51,1899,02,Opening Cost Balance,Subtotal,,,
slc.51.1899.03,51,1899,03,Additions and Betterments,Subtotal,,,
slc.51.1899.04,51,1899,04,Disposals,Subtotal,,,
slc.51.1899.05,51,1899,05,Write Downs,Subtotal,,,
slc.51.1899.06,51,1899,06,Closing Cost Balance,Subtotal,,,
slc.51.1899.07,51,1899,07,Opening Amortization Balance,Subtotal,,,
slc.51.1899.08,51,1899,08,Annual Amortization,Subtotal,,,
slc.51.1899.09,51,1899,09,Amortization Disposal,Subtotal,,,
slc.51.1899.10,51,1899,10,Closing Amortization Balance,Subtotal,,,
slc.51.1899.11,51,1899,11,Closing Net Book Value,Subtotal,,,
slc.51.1899.12,51,1899,12,Construction In Progress,Subtotal,,,
slc.51.1910.01,51,1910,01,Opening Net Book Value,Please specify,,,
slc.51.1910.02,51,1910,02,Opening Cost Balance,Please specify,,,
slc.51.1910.03,51,1910,03,Additions and Betterments,Please specify,,,
slc.51.1910.04,51,1910,04,Disposals,Please specify,,,
slc.51.1910.05,51,1910,05,Write Downs,Please specify,,,
slc.51.1910.06,51,1910,06,Closing Cost Balance,Please specify,,,
slc.51.1910.07,51,1910,07,Opening Amortization Balance,Please specify,,,
slc.51.1910.08,51,1910,08,Annual Amortization,Please specify,,,
slc.51.1910.09,51,1910,09,Amortization Disposal,Please specify,,,
slc.51.1910.10,51,1910,10,Closing Amortization Balance,Please specify,,,
slc.51.1910.11,51,1910,11,Closing Net Book Value,Please specify,,,
slc.51.1910.12,51,1910,12,Construction In Progress,Please specify,,,
slc.51.1930.01,51,1930,01,Opening Net Book Value,Total shared assets,,,
slc.51.1930.02,51,1930,02,Opening Cost Balance,Total shared assets,,,
slc.51.1930.03,51,1930,03,Additions and Betterments,Total shared assets,,,
slc.51.1930.04,51,1930,04,Disposals,Total shared assets,,,
slc.51.1930.05,51,1930,05,Write Downs,Total shared assets,,,
slc.51.1930.06,51,1930,06,Closing Cost Balance,Total shared assets,,,
slc.51.1930.07,51,1930,07,Opening Amortization Balance,Total shared assets,,,
slc.51.1930.08,51,1930,08,Annual Amortization,Total shared assets,,,
slc.51.1930.09,51,1930,09,Amortization Disposal,Total shared assets,,,
slc.51.1930.10,51,1930,10,Closing Amortization Balance,Total shared assets,,,
slc.51.1930.11,51,1930,11,Closing Net Book Value,Total shared assets,,,
slc.51.1930.12,51,1930,12,Construction In Progress,Total shared assets,,,
slc.51.1950.01,51,1950,01,Opening Net Book Value,Land and land improvements,,,
slc.51.1950.02,51,1950,02,Opening Cost Balance,Land and land improvements,,,
slc.51.1950.03,51,1950,03,Additions and Betterments,Land and land improvements,,,
slc.51.1950.04,51,1950,04,Disposals,Land and land improvements,,,
slc.51.1950.05,51,1950,05,Write Downs,Land and land improvements,,,
slc.51.1950.06,51,1950,06,Closing Cost Balance,Land and land improvements,,,
slc.51.1950.07,51,1950,07,Opening Amortization Balance,Land and land improvements,,,
slc.51.1950.08,51,1950,08,Annual Amortization,Land and land improvements,,,
slc.51.1950.09,51,1950,09,Amortization Disposal,Land and land improvements,,,
slc.51.1950.10,51,1950,10,Closing Amortization Balance,Land and land improvements,,,
slc.51.1950.11,51,1950,11,Closing Net Book Value,Land and land improvements,,,
slc.51.1950.12,51,1950,12,Construction In Progress,Land and land improvements,,,
slc.51.1951.01,51,1951,01,Opening Net Book Value,Buildings,,,
slc.51.1951.02,51,1951,02,Opening Cost Balance,Buildings,,,
slc.51.1951.03,51,1951,03,Additions and Betterments,Buildings,,,
slc.51.1951.04,51,1951,04,Disposals,Buildings,,,
slc.51.1951.05,51,1951,05,Write Downs,Buildings,,,
slc.51.1951.06,51,1951,06,Closing Cost Balance,Buildings,,,
slc.51.1951.07,51,1951,07,Opening Amortization Balance,Buildings,,,
slc.51.1951.08,51,1951,08,Annual Amortization,Buildings,,,
slc.51.1951.09,51,1951,09,Amortization Disposal,Buildings,,,
slc.51.1951.10,51,1951,10,Closing Amortization Balance,Buildings,,,
slc.51.1951.11,51,1951,11,Closing Net Book Value,Buildings,,,
slc.51.1951.12,51,1951,12,Construction In Progress,Buildings,,,
slc.51.1952.01,51,1952,01,Opening Net Book Value,Machinery and equipment,,,
slc.51.1952.02,51,1952,02,Opening Cost Balance,Machinery and equipment,,,
slc.51.1952.03,51,1952,03,Additions and Betterments,Machinery and equipment,,,
slc.51.1952.04,51,1952,04,Disposals,Machinery and equipment,,,
slc.51.1952.05,51,1952,05,Write Downs,Machinery and equipment,,,
slc.51.1952.06,51,1952,06,Closing Cost Balance,Machinery and equipment,,,
slc.51.1952.07,51,1952,07,Opening Amortization Balance,Machinery and equipment,,,
slc.51.1952.08,51,1952,08,Annual Amortization,Machinery and equipment,,,
slc.51.1952.09,51,1952,09,Amortization Disposal,Machinery and equipment,,,
slc.51.1952.10,51,1952,10,Closing Amortization Balance,Machinery and equipment,,,
slc.51.1952.11,51,1952,11,Closing Net Book Value,Machinery and equipment,,,
slc.51.1952.12,51,1952,12,Construction In Progress,Machinery and equipment,,,
slc.51.1953.01,51,1953,01,Opening Net Book Value,Vehicles,,,
slc.51.1953.02,51,1953,02,Opening Cost Balance,Vehicles,,,
slc.51.1953.03,51,1953,03,Additions and Betterments,Vehicles,,,
slc.51.1953.04,51,1953,04,Disposals,Vehicles,,,
slc.51.1953.05,51,1953,05,Write Downs,Vehicles,,,
slc.51.1953.06,51,1953,06,Closing Cost Balance,Vehicles,,,
slc.51.1953.07,51,1953,07,Opening Amortization Balance,Vehicles,,,
slc.51.1953.08,51,1953,08,Annual Amortization,Vehicles,,,
slc.51.1953.09,51,1953,09,Amortization Disposal,Vehicles,,,
slc.51.1953.10,51,1953,10,Closing Amortization Balance,Vehicles,,,
slc.51.1953.11,51,1953,11,Closing Net Book Value,Vehicles,,,
slc.51.1953.12,51,1953,12,Construction In Progress,Vehicles,,,
slc.51.1954.01,51,1954,01,Opening Net Book Value,Please specify,,,
slc.51.1954.02,51,1954,02,Opening Cost Balance,Please specify,,,
slc.51.1954.03,51,1954,03,Additions and Betterments,Please specify,,,
slc.51.1954.04,51,1954,04,Disposals,Please specify,,,
slc.51.1954.05,51,1954,05,Write Downs,Please specify,,,
slc.51.1954.06,51,1954,06,Closing Cost Balance,Please specify,,,
slc.51.1954.07,51,1954,07,Opening Amortization Balance,Please specify,,,
slc.51.1954.08,51,1954,08,Annual Amortization,Please specify,,,
slc.51.1954.09,51,1954,09,Amortization Disposal,Please specify,,,
slc.51.1954.10,51,1954,10,Closing Amortization Balance,Please specify,,,
slc.51.1954.11,51,1954,11,Closing Net Book Value,Please specify,,,
slc.51.1954.12,51,1954,12,Construction In Progress,Please specify,,,
slc.51.1999.01,51,1999,01,Opening Net Book Value,Total shared assets,,,
slc.51.1999.02,51,1999,02,Opening Cost Balance,Total shared assets,,,
slc.51.1999.03,51,1999,03,Additions and Betterments,Total shared assets,,,
slc.51.1999.04,51,1999,04,Disposals,Total shared assets,,,
slc.51.1999.05,51,1999,05,Write Downs,Total shared assets,,,
slc.51.1999.06,51,1999,06,Closing Cost Balance,Total shared assets,,,
slc.51.1999.07,51,1999,07,Opening Amortization Balance,Total shared assets,,,
slc.51.1999.08,51,1999,08,Annual Amortization,Total shared assets,,,
slc.51.1999.09,51,1999,09,Amortization Disposal,Total shared assets,,,
slc.51.1999.10,51,1999,10,Closing Amortization Balance,Total shared assets,,,
slc.51.1999.11,51,1999,11,Closing Net Book Value,Total shared assets,,,
slc.51.1999.12,51,1999,12,Construction In Progress,Total shared assets,,,
slc.51.9910.01,51,9910,01,Opening Net Book Value,Total tangible capital assets,,,
slc.51.9910.02,51,9910,02,Opening Cost Balance,Total tangible capital assets,,,
slc.51.9910.03,51,9910,03,Additions and Betterments,Total tangible capital assets,,,
slc.51.9910.04,51,9910,04,Disposals,Total tangible capital assets,,,
slc.51.9910.05,51,9910,05,Write Downs,Total tangible capital assets,,,
slc.51.9910.06,51,9910,06,Closing Cost Balance,Total tangible capital assets,,,
slc.51.9910.07,51,9910,07,Opening Amortization Balance,Total tangible capital assets,,,
slc.51.9910.08,51,9910,08,Annual Amortization,Total tangible capital assets,,,
slc.51.9910.09,51,9910,09,Amortization Disposal,Total tangible capital assets,,,
slc.51.9910.10,51,9910,10,Closing Amortization Balance,Total tangible capital assets,,,
slc.51.9910.11,51,9910,11,Closing Net Book Value,Total tangible capital assets,,,
slc.51.9910.12,51,9910,12,Construction In Progress,Total tangible capital assets,,,
slc.51a.2005.01,51,2005,01,Opening Net Book Value,Land,,,
slc.51a.2005.11,51,2005,11,Closing Net Book Value,Land,,,
slc.51a.2010.01,51,2010,01,Opening Net Book Value,Land improvements,,,
slc.51a.2010.11,51,2010,11,Closing Net Book Value,Land improvements,,,
slc.51a.2020.01,51,2020,01,Opening Net Book Value,Buildings,,,
slc.51a.2020.11,51,2020,11,Closing Net Book Value,Buildings,,,
slc.51a.2030.01,51,2030,01,Opening Net Book Value,Machinery and equipment,,,
slc.51a.2030.11,51,2030,11,Closing Net Book Value,Machinery and equipment,,,
slc.51a.2040.01,51,2040,01,Opening Net Book Value,Vehicles,,,
slc.51a.2040.11,51,2040,11,Closing Net Book Value,Vehicles,,,
slc.51a.2097.01,51,2097,01,Opening Net Book Value,Please specify,,,
slc.51a.2097.11,51,2097,11,Closing Net Book Value,Please specify,,,
slc.51a.2098.01,51,2098,01,Opening Net Book Value,Please specify,,,
slc.51a.2098.11,51,2098,11,Closing Net Book Value,Please specify,,,
slc.51a.2099.01,51,2099,01,Opening Net Book Value,Total general capital assets,,,
slc.51a.2099.11,51,2099,11,Closing Net Book Value,Total general capital assets,,,
slc.51a.2205.01,51,2205,01,Opening Net Book Value,Land,,,
slc.51a.2205.11,51,2205,11,Closing Net Book Value,Land,,,
slc.51a.2210.01,51,2210,01,Opening Net Book Value,Land improvements,,,
slc.51a.2210.11,51,2210,11,Closing Net Book Value,Land improvements,,,
slc.51a.2220.01,51,2220,01,Opening Net Book Value,Buildings,,,
slc.51a.2220.11,51,2220,11,Closing Net Book Value,Buildings,,,
slc.51a.2230.01,51,2230,01,Opening Net Book Value,Machinery and equipment,,,
slc.51a.2230.11,51,2230,11,Closing Net Book Value,Machinery and equipment,,,
slc.51a.2240.01,51,2240,01,Opening Net Book Value,Vehicles,,,
slc.51a.2240.11,51,2240,11,Closing Net Book Value,Vehicles,,,
slc.51a.2250.01,51,2250,01,Opening Net Book Value,Linear assets,,,
slc.51a.2250.11,51,2250,11,Closing Net Book Value,Linear assets,,,
slc.51a.2297.01,51,2297,01,Opening Net Book Value,Please specify,,,
slc.51a.2297.11,51,2297,11,Closing Net Book Value,Please specify,,,
slc.51a.2298.01,51,2298,01,Opening Net Book Value,Please specify,,,
slc.51a.2298.11,51,2298,11,Closing Net Book Value,Please specify,,,
slc.51a.2299.01,51,2299,01,Opening Net Book Value,Total infrastructure assets,,,
slc.51a.2299.11,51,2299,11,Closing Net Book Value,Total infrastructure assets,,,
slc.51a.2405.01,51,2405,01,Opening Net Book Value,Construction-in-progress,,,
slc.51a.2405.11,51,2405,11,Closing Net Book Value,Construction-in-progress,,,
slc.51a.9920.01,51,9920,01,Opening Net Book Value,Total tangible capital assets,,,
slc.51a.9920.11,51,9920,11,Closing Net Book Value,Total tangible capital assets,,,
slc.51a.9921.01,51,9921,01,Opening Net Book Value,Total tangible capital assets and construction-in-progress,,,
slc.51a.9921.11,51,9921,11,Closing Net Book Value,Total tangible capital assets and construction-in-progress,,,
slc.53.205.01,53,205,01,$,Canada Mortgage and Housing Corporation (CMHC),,,
slc.53.210.01,53,210,01,$,Ontario Financing Authority,,,
slc.53.215.01,53,215,01,$,Commercial Area Improvement Program,,,
slc.53.220.01,53,220,01,$,Other Ontario housing programs,,,
slc.53.225.01,53,225,01,$,Ontario Clean Water Agency (OCWA),,,
slc.53.235.01,53,235,01,$,Serial debentures,,,
slc.53.240.01,53,240,01,$,Sinking fund debentures,,,
slc.53.245.01,53,245,01,$,Long term bank loans,,,
slc.53.250.01,53,250,01,$,Long term reserve fund loans,,,
slc.53.255.01,53,255,01,$,Lease purchase agreements (Tangible capital leases),,,
slc.53.260.01,53,260,01,$,Construction Financing Debentures,,,
slc.53.265.01,53,265,01,$,Infrastructure Ontario,,,
slc.53.297.01,53,297,01,$,Please specify,,,
slc.53.298.01,53,298,01,$,Please specify,,,
slc.53.299.01,53,299,01,$,Subtotal,,,
slc.53.405.01,53,405,01,$,Municipal property tax by levy,,,
slc.53.406.01,53,406,01,$,Reserves and Reserve funds (SLC 60 1012 01 + SLC 60 1012 02 + SLC 60 1012 03),,,
slc.53.410.01,53,410,01,$,Municipal user fees and service charges,,,
slc.53.415.01,53,415,01,$,Development charges (SLC 61 0299 08),,,
slc.53.416.01,53,416,01,$,Recreation land (The Planning Act) (SLC 60 1032 01),,,
slc.53.419.01,53,419,01,$,Donations,,,
slc.53.420.01,53,420,01,$,Please specify,,,
slc.53.425.01,53,425,01,$,Capital grants: Federal(SLC 12 9910 06 - (SLC 10 4099 01 - SLC 60 1047 01)),,,
slc.53.430.01,53,430,01,$,Capital grants: Provincial(SLC 12 9910 05 - (SLC 10 4019 01 - SLC 60 1045 01)),,,
slc.53.435.01,53,435,01,$,Capital grants: Other municipalities (SLC 12 9910 07),,,
slc.53.440.01,53,440,01,$,Canada gas tax (SLC 10 4099 01),,,
slc.53.445.01,53,445,01,$,Provincial gas tax (SLC 10 4019 01),,,
slc.53.446.01,53,446,01,$,"Proceeds from the sale of Tangible Capital Assets, etc",,,
slc.53.447.01,53,447,01,$,Investment income,,,
slc.53.448.01,53,448,01,$,Prepaid special charges,,,
slc.53.495.01,53,495,01,$,Please specify,,,
slc.53.496.01,53,496,01,$,Please specify,,,
slc.53.497.01,53,497,01,$,Please specify,,,
slc.53.498.01,53,498,01,$,Please specify,,,
slc.53.499.01,53,499,01,$,Subtotal,,,
slc.53.501.01,53,501,01,$,Subtotal,,,
slc.53.502.01,53,502,01,$,Subtotal,,,
slc.53.610.01,53,610,01,$,Contributed (Donated) tangible capital assets,,,
slc.53.810.01,53,810,01,$,Unexpected Capital Financing or (Unfinancied Capital Outlay),,,
slc.53.1010.01,53,1010,01,$,Annual surplus/(deficit) (SLC 10 2099 01),,,
slc.53.1020.01,53,1020,01,$,Acquisition of tangible capital assets,,,
slc.53.1030.01,53,1030,01,$,Amortization of tangible capital assets (SLC 51 9910 08),,,
slc.53.1031.01,53,1031,01,$,Contributed (Donated) tangible capital assets,,,
slc.53.1040.01,53,1040,01,$,(Gain)/loss on sale to tangible capital assets,,,
slc.53.1050.01,53,1050,01,$,Proceeds on sale of tangible capital assets,,,
slc.53.1060.01,53,1060,01,$,Write-downs of tangible capital assets,,,
slc.53.1070.01,53,1070,01,$,Please specify,,,
slc.53.1071.01,53,1071,01,$,Please specify,,,
slc.53.1099.01,53,1099,01,$,Subtotal,,,
slc.53.1210.01,53,1210,01,$,Change in supplies inventories,,,
slc.53.1220.01,53,1220,01,$,Change in prepaid expenses,,,
slc.53.1230.01,53,1230,01,$,Please specify,,,
slc.53.1299.01,53,1299,01,$,Subtotal,,,
slc.53.1410.01,53,1410,01,$,(Increase)/decrease in net financial assets/net debt,,,
slc.53.1420.01,53,1420,01,$,"Net financial assets (net debt), beginning of year",,,
slc.53.9910.01,53,9910,01,$,"Net financial assets (net debt), end of year",,,
slc.53.9920.01,53,9920,01,$,Total Capital Financing,,,
slc.54D.210.01,54,210,01,$,Taxes,,,
slc.54D.220.01,54,220,01,$,Transfers,,,
slc.54D.230.01,54,230,01,$,User fees,,,
slc.54D.240.01,54,240,01,$,"Fees, permits, licenses and fines",,,
slc.54D.250.01,54,250,01,$,Enterprises,,,
slc.54D.260.01,54,260,01,$,Investments,,,
slc.54D.298.01,54,298,01,$,Please specify,,,
slc.54D.299.01,54,299,01,$,Subtotal,,,
slc.54D.410.01,54,410,01,$,"Salaries, wages and employment contracts and benefits",,,
slc.54D.420.01,54,420,01,$,Material and supplies,,,
slc.54D.430.01,54,430,01,$,Contracted services,,,
slc.54D.440.01,54,440,01,$,Financing charges,,,
slc.54D.450.01,54,450,01,$,External transfers,,,
slc.54D.498.01,54,498,01,$,Please specify,,,
slc.54D.499.01,54,499,01,$,Subtotal,,,
slc.54D.610.01,54,610,01,$,Proceeds on sale of tangible capital assets,,,
slc.54D.620.01,54,620,01,$,Cash used to acquire tangible capital assets,,,
slc.54D.630.01,54,630,01,$,Change in construction-in-progress,,,
slc.54D.698.01,54,698,01,$,Please specify,,,
slc.54D.699.01,54,699,01,$,Cash applied to capital transactions,,,
slc.54D.810.01,54,810,01,$,Proceeds from portfolio investments,,,
slc.54D.820.01,54,820,01,$,Portfolio investments,,,
slc.54D.898.01,54,898,01,$,Please specify,,,
slc.54D.899.01,54,899,01,$,Cash provided by/(applied to) investing transactions,,,
slc.54D.1010.01,54,1010,01,$,Proceeds from debt issues,,,
slc.54D.1020.01,54,1020,01,$,Debt repayment,,,
slc.54D.1030.01,54,1030,01,$,Temporary loans,,,
slc.54D.1031.01,54,1031,01,$,Repayment of temporary loans,,,
slc.54D.1096.01,54,1096,01,$,Please specify,,,
slc.54D.1097.01,54,1097,01,$,Please specify,,,
slc.54D.1098.01,54,1098,01,$,Please specify,,,
slc.54D.1099.01,54,1099,01,$,Cash applied to financing transactions,,,
slc.54D.1210.01,54,1210,01,$,Increase in cash and cash equivalents,,,
slc.54D.1220.01,54,1220,01,$,"Cash and cash equivalents, beginning of year",,,
slc.54D.1401.01,54,1401,01,$,Cash,,,
slc.54D.1402.01,54,1402,01,$,Temporary borrowings,,,
slc.54D.1403.01,54,1403,01,$,Short term investments,,,
slc.54D.1404.01,54,1404,01,$,Please specify,,,
slc.54D.1410.01,54,1410,01,$,Cash provided from operating transactions (SLC 54 2099 01),,,
slc.54D.1420.01,54,1420,01,$,LESS: Debt repayment (SLC 54 1020 01),,,
slc.54D.2099.01,54,2099,01,$,Cash provided by operating transactions,,,
slc.54D.9920.01,54,9920,01,$,"Cash and cash equivalents, end of year",,,
slc.54D.9930.01,54,9930,01,$,Net cash available for other purposes,,,
slc.54D.9940.01,54,9940,01,$,"Cash and cash equivalents, end of year",,,
slc.54I.610.01,54,610,01,$,Proceeds on sale of tangible capital assets,,,
slc.54I.620.01,54,620,01,$,Cash used to acquire tangible capital assets,,,
slc.54I.630.01,54,630,01,$,Change in construction-in-progress,,,
slc.54I.698.01,54,698,01,$,Please specify,,,
slc.54I.699.01,54,699,01,$,Cash applied to capital transactions,,,
slc.54I.810.01,54,810,01,$,Proceeds from portfolio investments,,,
slc.54I.820.01,54,820,01,$,Portfolio investments,,,
slc.54I.898.01,54,898,01,$,Please specify,,,
slc.54I.899.01,54,899,01,$,Cash provided by/(applied to) investing transactions,,,
slc.54I.1010.01,54,1010,01,$,Proceeds from debt issues,,,
slc.54I.1020.01,54,1020,01,$,Debt repayment,,,
slc.54I.1030.01,54,1030,01,$,Temporary loans,,,
slc.54I.1031.01,54,1031,01,$,Repayment of temporary loans,,,
slc.54I.1096.01,54,1096,01,$,Please specify,,,
slc.54I.1097.01,54,1097,01,$,Please specify,,,
slc.54I.1098.01,54,1098,01,$,Please specify,,,
slc.54I.1099.01,54,1099,01,$,Cash applied to financing transactions,,,
slc.54I.1210.01,54,1210,01,$,Increase in cash and cash equivalents,,,
slc.54I.1220.01,54,1220,01,$,"Cash and cash equivalents, beginning of year",,,
slc.54I.1401.01,54,1401,01,$,Cash,,,
slc.54I.1402.01,54,1402,01,$,Temporary borrowings,,,
slc.54I.1403.01,54,1403,01,$,Short term investments,,,
slc.54I.1404.01,54,1404,01,$,Please specify,,,
slc.54I.1410.01,54,1410,01,$,Cash provided from operating transactions (SLC 54 2099 01),,,
slc.54I.1420.01,54,1420,01,$,LESS: Debt repayment (SLC 54 1020 01),,,
slc.54I.2010.01,54,2010,01,$,Annual surplus/(deficit) (SLC 10 2099 01),,,
slc.54I.2020.01,54,2020,01,$,Non-cash items including amortization,,,
slc.54I.2021.01,54,2021,01,$,Contributed (Donated) tangible capital assets,,,
slc.54I.2022.01,54,2022,01,$,Change in non-cash assets and liabilities,,,
slc.54I.2030.01,54,2030,01,$,Prepaid expenses,,,
slc.54I.2040.01,54,2040,01,$,Change in deferred revenue,,,
slc.54I.2096.01,54,2096,01,$,Please specify,,,
slc.54I.2097.01,54,2097,01,$,Please specify,,,
slc.54I.2098.01,54,2098,01,$,Please specify,,,
slc.54I.2099.01,54,2099,01,$,Cash provided by operating transactions,,,
slc.54I.9920.01,54,9920,01,$,"Cash and cash equivalents, end of year",,,
slc.54I.9930.01,54,9930,01,$,Net cash available for other purposes,,,
slc.54I.9940.01,54,9940,01,$,"Cash and cash equivalents, end of year",,,
slc.60.299.01,60,299,01,"Obligatory Reserve Funds, Deferred Revenue","Balance, beginning of year",,,
slc.60.299.02,60,299,02,Discretionary Reserve Funds,"Balance, beginning of year",,,
slc.60.299.03,60,299,03,Reserves,"Balance, beginning of year",,,
slc.60.310.01,60,310,01,"Obligatory Reserve Funds, Deferred Revenue",Allocation of surplus,,,
slc.60.310.02,60,310,02,Discretionary Reserve Funds,Allocation of surplus,,,
