Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include,
slc.54I.1404.01,54,1404,1,$,Please specify,,,,
slc.54I.1410.01,54,1410,1,$,Cash provided from operating transactions (SLC 54 2099 01),,,,
slc.54I.1420.01,54,1420,1,$,LESS: Debt repayment (SLC 54 1020 01),,,,
slc.54I.2010.01,54,2010,1,$,Annual surplus/(deficit) (SLC 10 2099 01),,,,
slc.54I.2020.01,54,2020,1,$,Non-cash items including amortization,,,,
slc.54I.2021.01,54,2021,1,$,Contributed (Donated) tangible capital assets,,,,
slc.54I.2022.01,54,2022,1,$,Change in non-cash assets and liabilities,,,,
slc.54I.2030.01,54,2030,1,$,Prepaid expenses,,,,
slc.54I.2040.01,54,2040,1,$,Change in deferred revenue,,,,
slc.54I.2096.01,54,2096,1,$,Please specify,,,,
slc.54I.2097.01,54,2097,1,$,Please specify,,,,
slc.54I.2098.01,54,2098,1,$,Please specify,,,,
slc.54I.2099.01,54,2099,1,$,Cash provided by operating transactions,,,,
slc.54I.9920.01,54,9920,1,$,"Cash and cash equivalents, end of year",,,,
slc.54I.9930.01,54,9930,1,$,Net cash available for other purposes,,,,
slc.54I.9940.01,54,9940,1,$,"Cash and cash equivalents, end of year",,,,
slc.60.299.01,60,299,1,"Obligatory Reserve Funds, Deferred Revenue","Balance, beginning of year",,,,
slc.60.299.02,60,299,2,Discretionary Reserve Funds,"Balance, beginning of year",,,,
slc.60.299.03,60,299,3,Reserves,"Balance, beginning of year",,,,
slc.60.310.01,60,310,1,"Obligatory Reserve Funds, Deferred Revenue",Allocation of surplus,,,,
slc.60.310.02,60,310,2,Discretionary Reserve Funds,Allocation of surplus,,,,
slc.60.310.03,60,310,3,Reserves,Allocation of surplus,,,,
slc.60.315.01,60,315,1,"Obligatory Reserve Funds, Deferred Revenue",Allocation of Surplus: for operating,,,,
slc.60.315.02,60,315,2,Discretionary Reserve Funds,Allocation of Surplus: for operating,,,,
slc.60.315.03,60,315,3,Reserves,Allocation of Surplus: for operating,,,,
slc.60.320.01,60,320,1,"Obligatory Reserve Funds, Deferred Revenue",Allocation of Surplus: for capital,,,,
slc.60.320.02,60,320,2,Discretionary Reserve Funds,Allocation of Surplus: for capital,,,,
slc.60.320.03,60,320,3,Reserves,Allocation of Surplus: for capital,,,,
slc.60.610.01,60,610,1,"Obligatory Reserve Funds, Deferred Revenue",Non-discounted services,,,,
slc.60.610.02,60,610,2,Discretionary Reserve Funds,Non-discounted services,,,,
slc.60.610.03,60,610,3,Reserves,Non-discounted services,,,,
slc.60.620.01,60,620,1,"Obligatory Reserve Funds, Deferred Revenue",Discounted services,,,,
slc.60.620.02,60,620,2,Discretionary Reserve Funds,Discounted services,,,,
slc.60.620.03,60,620,3,Reserves,Discounted services,,,,
slc.60.630.01,60,630,1,"Obligatory Reserve Funds, Deferred Revenue",Credits utilized (Development Charges Act) (SLC 61 0299 05),,,,
slc.60.630.02,60,630,2,Discretionary Reserve Funds,Credits utilized (Development Charges Act) (SLC 61 0299 05),,,,
slc.60.630.03,60,630,3,Reserves,Credits utilized (Development Charges Act) (SLC 61 0299 05),,,,
slc.60.699.01,60,699,1,"Obligatory Reserve Funds, Deferred Revenue",Subtotal Development Charges Act,,,,
slc.60.699.02,60,699,2,Discretionary Reserve Funds,Subtotal Development Charges Act,,,,
slc.60.699.03,60,699,3,Reserves,Subtotal Development Charges Act,,,,
slc.60.810.01,60,810,1,"Obligatory Reserve Funds, Deferred Revenue",Lot levies,,,,
slc.60.810.02,60,810,2,Discretionary Reserve Funds,Lot levies,,,,
slc.60.810.03,60,810,3,Reserves,Lot levies,,,,
slc.60.820.01,60,820,1,"Obligatory Reserve Funds, Deferred Revenue",Subdivider contributions,,,,
slc.60.820.02,60,820,2,Discretionary Reserve Funds,Subdivider contributions,,,,
slc.60.820.03,60,820,3,Reserves,Subdivider contributions,,,,
slc.60.830.01,60,830,1,"Obligatory Reserve Funds, Deferred Revenue",Recreational land (the Planning Act),,,,
slc.60.830.02,60,830,2,Discretionary Reserve Funds,Recreational land (the Planning Act),,,,
slc.60.830.03,60,830,3,Reserves,Recreational land (the Planning Act),,,,
slc.60.841.01,60,841,1,"Obligatory Reserve Funds, Deferred Revenue",Investment income,,,,
slc.60.841.02,60,841,2,Discretionary Reserve Funds,Investment income,,,,
slc.60.841.03,60,841,3,Reserves,Investment income,,,,
slc.60.860.01,60,860,1,"Obligatory Reserve Funds, Deferred Revenue",Gasoline Tax - Province,,,,
slc.60.860.02,60,860,2,Discretionary Reserve Funds,Gasoline Tax - Province,,,,
slc.60.860.03,60,860,3,Reserves,Gasoline Tax - Province,,,,
slc.60.861.01,60,861,1,"Obligatory Reserve Funds, Deferred Revenue","Building Code Act, 1992 (Section 2.23)",,,,
slc.60.861.02,60,861,2,Discretionary Reserve Funds,"Building Code Act, 1992 (Section 2.23)",,,,
slc.60.861.03,60,861,3,Reserves,"Building Code Act, 1992 (Section 2.23)",,,,
slc.60.862.01,60,862,1,"Obligatory Reserve Funds, Deferred Revenue",Gasoline Tax - Federal,,,,
slc.60.862.02,60,862,2,Discretionary Reserve Funds,Gasoline Tax - Federal,,,,
slc.60.862.03,60,862,3,Reserves,Gasoline Tax - Federal,,,,
slc.60.863.01,60,863,1,"Obligatory Reserve Funds, Deferred Revenue",Canada transit funding (Bill C-48),,,,
slc.60.863.02,60,863,2,Discretionary Reserve Funds,Canada transit funding (Bill C-48),,,,
slc.60.863.03,60,863,3,Reserves,Canada transit funding (Bill C-48),,,,
slc.60.864.01,60,864,1,"Obligatory Reserve Funds, Deferred Revenue",Building Canada Fund (BCF),,,,
slc.60.864.02,60,864,2,Discretionary Reserve Funds,Building Canada Fund (BCF),,,,
slc.60.864.03,60,864,3,Reserves,Building Canada Fund (BCF),,,,
slc.60.870.01,60,870,1,"Obligatory Reserve Funds, Deferred Revenue",Inter - Reserve Fund/Reserves Transfer,,,,
slc.60.870.02,60,870,2,Discretionary Reserve Funds,Inter - Reserve Fund/Reserves Transfer,,,,
slc.60.870.03,60,870,3,Reserves,Inter - Reserve Fund/Reserves Transfer,,,,
slc.60.895.01,60,895,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.895.02,60,895,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.895.03,60,895,3,Reserves,Please specify,,,,
slc.60.896.01,60,896,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.896.02,60,896,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.896.03,60,896,3,Reserves,Please specify,,,,
slc.60.897.01,60,897,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.897.02,60,897,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.897.03,60,897,3,Reserves,Please specify,,,,
slc.60.898.01,60,898,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.898.02,60,898,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.898.03,60,898,3,Reserves,Please specify,,,,
slc.60.910.01,60,910,1,"Obligatory Reserve Funds, Deferred Revenue",LESS: Utilization (deferred revenue recognized),,,,
slc.60.910.02,60,910,2,Discretionary Reserve Funds,LESS: Utilization (deferred revenue recognized),,,,
slc.60.910.03,60,910,3,Reserves,LESS: Utilization (deferred revenue recognized),,,,
slc.60.1012.01,60,1012,1,"Obligatory Reserve Funds, Deferred Revenue",For acquisition of tangible capital asset,,,,
slc.60.1012.02,60,1012,2,Discretionary Reserve Funds,For acquisition of tangible capital asset,,,,
slc.60.1012.03,60,1012,3,Reserves,For acquisition of tangible capital asset,,,,
slc.60.1015.01,60,1015,1,"Obligatory Reserve Funds, Deferred Revenue",For current operations,,,,
slc.60.1015.02,60,1015,2,Discretionary Reserve Funds,For current operations,,,,
slc.60.1015.03,60,1015,3,Reserves,For current operations,,,,
slc.60.1025.01,60,1025,1,"Obligatory Reserve Funds, Deferred Revenue",Development Charges earned to tangible capital asset acquisition (SLC 61 0299 08),,,,
slc.60.1025.02,60,1025,2,Discretionary Reserve Funds,Development Charges earned to tangible capital asset acquisition (SLC 61 0299 08),,,,
slc.60.1025.03,60,1025,3,Reserves,Development Charges earned to tangible capital asset acquisition (SLC 61 0299 08),,,,
slc.60.1026.01,60,1026,1,"Obligatory Reserve Funds, Deferred Revenue",Development Charges earned to operations (SLC 61 0299 07),,,,
slc.60.1026.02,60,1026,2,Discretionary Reserve Funds,Development Charges earned to operations (SLC 61 0299 07),,,,
slc.60.1026.03,60,1026,3,Reserves,Development Charges earned to operations (SLC 61 0299 07),,,,
slc.60.1032.01,60,1032,1,"Obligatory Reserve Funds, Deferred Revenue",Recreational land (the Planning Act) earned to tangible capital asset acquisition,,,,
slc.60.1032.02,60,1032,2,Discretionary Reserve Funds,Recreational land (the Planning Act) earned to tangible capital asset acquisition,,,,
slc.60.1032.03,60,1032,3,Reserves,Recreational land (the Planning Act) earned to tangible capital asset acquisition,,,,
slc.60.1035.01,60,1035,1,"Obligatory Reserve Funds, Deferred Revenue",Recreational land (the Planning Act) earned to operations,,,,
slc.60.1035.02,60,1035,2,Discretionary Reserve Funds,Recreational land (the Planning Act) earned to operations,,,,
slc.60.1035.03,60,1035,3,Reserves,Recreational land (the Planning Act) earned to operations,,,,
slc.60.1042.01,60,1042,1,"Obligatory Reserve Funds, Deferred Revenue",Deferred revenue earned (Provincial Gas Tax) for Transit (Operations),R,,1,
slc.60.1042.02,60,1042,2,Discretionary Reserve Funds,Deferred revenue earned (Provincial Gas Tax) for Transit (Operations),,,,
slc.60.1042.03,60,1042,3,Reserves,Deferred revenue earned (Provincial Gas Tax) for Transit (Operations),,,,
slc.60.1045.01,60,1045,1,"Obligatory Reserve Funds, Deferred Revenue",Deferred revenue earned (Provincial Gas Tax) for Transit (Capital),R,,1,
slc.60.1045.02,60,1045,2,Discretionary Reserve Funds,Deferred revenue earned (Provincial Gas Tax) for Transit (Capital),,,,
slc.60.1045.03,60,1045,3,Reserves,Deferred revenue earned (Provincial Gas Tax) for Transit (Capital),,,,
slc.60.1047.01,60,1047,1,"Obligatory Reserve Funds, Deferred Revenue",Deferred revenue earned (Canada Gas Tax),R,,1,
slc.60.1047.02,60,1047,2,Discretionary Reserve Funds,Deferred revenue earned (Canada Gas Tax),,,,
slc.60.1047.03,60,1047,3,Reserves,Deferred revenue earned (Canada Gas Tax),,,,
slc.60.1055.01,60,1055,1,"Obligatory Reserve Funds, Deferred Revenue",Development Charges Act - Credits Provided (SLC 61 0299 10),,,,
slc.60.1055.02,60,1055,2,Discretionary Reserve Funds,Development Charges Act - Credits Provided (SLC 61 0299 10),,,,
slc.60.1055.03,60,1055,3,Reserves,Development Charges Act - Credits Provided (SLC 61 0299 10),,,,
slc.60.1070.01,60,1070,1,"Obligatory Reserve Funds, Deferred Revenue",Inter - Reserve Fund/Reserves Transfer,,,,
slc.60.1070.02,60,1070,2,Discretionary Reserve Funds,Inter - Reserve Fund/Reserves Transfer,,,,
slc.60.1070.03,60,1070,3,Reserves,Inter - Reserve Fund/Reserves Transfer,,,,
slc.60.2099.01,60,2099,1,"Obligatory Reserve Funds, Deferred Revenue","Balance, end of year",,,,
slc.60.2099.02,60,2099,2,Discretionary Reserve Funds,"Balance, end of year",,,,
slc.60.2099.03,60,2099,3,Reserves,"Balance, end of year",,,,
slc.60.5010.01,60,5010,1,"Obligatory Reserve Funds, Deferred Revenue",Working funds,,,,
slc.60.5010.02,60,5010,2,Discretionary Reserve Funds,Working funds,,,,
slc.60.5010.03,60,5010,3,Reserves,Working funds,,,,
slc.60.5020.01,60,5020,1,"Obligatory Reserve Funds, Deferred Revenue",Contingencies,,,,
slc.60.5020.02,60,5020,2,Discretionary Reserve Funds,Contingencies,,,,
slc.60.5020.03,60,5020,3,Reserves,Contingencies,,,,
slc.60.5030.01,60,5030,1,"Obligatory Reserve Funds, Deferred Revenue","Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Sewer",,,,
slc.60.5030.02,60,5030,2,Discretionary Reserve Funds,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Sewer",,,,
slc.60.5030.03,60,5030,3,Reserves,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Sewer",,,,
slc.60.5040.01,60,5040,1,"Obligatory Reserve Funds, Deferred Revenue","Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Water",,,,
slc.60.5040.02,60,5040,2,Discretionary Reserve Funds,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Water",,,,
slc.60.5040.03,60,5040,3,Reserves,"Ontario Clean Water Agency (OCWA) fund for renewals, etc. : Water",,,,
slc.60.5050.01,60,5050,1,"Obligatory Reserve Funds, Deferred Revenue",Replacement of equipment,,,,
slc.60.5050.02,60,5050,2,Discretionary Reserve Funds,Replacement of equipment,,,,
slc.60.5050.03,60,5050,3,Reserves,Replacement of equipment,,,,
slc.60.5060.01,60,5060,1,"Obligatory Reserve Funds, Deferred Revenue",Sick leave,,,,
slc.60.5060.02,60,5060,2,Discretionary Reserve Funds,Sick leave,,,,
slc.60.5060.03,60,5060,3,Reserves,Sick leave,,,,
slc.60.5070.01,60,5070,1,"Obligatory Reserve Funds, Deferred Revenue",Insurance,,,,
slc.60.5070.02,60,5070,2,Discretionary Reserve Funds,Insurance,,,,
slc.60.5070.03,60,5070,3,Reserves,Insurance,,,,
slc.60.5080.01,60,5080,1,"Obligatory Reserve Funds, Deferred Revenue",Workplace Safety and Insurance Board (WSIB),,,,
slc.60.5080.02,60,5080,2,Discretionary Reserve Funds,Workplace Safety and Insurance Board (WSIB),,,,
slc.60.5080.03,60,5080,3,Reserves,Workplace Safety and Insurance Board (WSIB),,,,
slc.60.5090.01,60,5090,1,"Obligatory Reserve Funds, Deferred Revenue",Post-employment benefits,,,,
slc.60.5090.02,60,5090,2,Discretionary Reserve Funds,Post-employment benefits,,,,
slc.60.5090.03,60,5090,3,Reserves,Post-employment benefits,,,,
slc.60.5091.01,60,5091,1,"Obligatory Reserve Funds, Deferred Revenue",Tax rate stabilization,,,,
slc.60.5091.02,60,5091,2,Discretionary Reserve Funds,Tax rate stabilization,,,,
slc.60.5091.03,60,5091,3,Reserves,Tax rate stabilization,,,,
slc.60.5205.01,60,5205,1,"Obligatory Reserve Funds, Deferred Revenue",General government,,,,
slc.60.5205.02,60,5205,2,Discretionary Reserve Funds,General government,,,,
slc.60.5205.03,60,5205,3,Reserves,General government,,,,
slc.60.5210.01,60,5210,1,"Obligatory Reserve Funds, Deferred Revenue",Protection services,,,,
slc.60.5210.02,60,5210,2,Discretionary Reserve Funds,Protection services,,,,
slc.60.5210.03,60,5210,3,Reserves,Protection services,,,,
slc.60.5215.01,60,5215,1,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Roadways,,,,
slc.60.5215.02,60,5215,2,Discretionary Reserve Funds,Transportation services : Roadways,,,,
slc.60.5215.03,60,5215,3,Reserves,Transportation services : Roadways,,,,
slc.60.5216.01,60,5216,1,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Winter control,,,,
slc.60.5216.02,60,5216,2,Discretionary Reserve Funds,Transportation services : Winter control,,,,
slc.60.5216.03,60,5216,3,Reserves,Transportation services : Winter control,,,,
slc.60.5220.01,60,5220,1,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Transit,,,,
slc.60.5220.02,60,5220,2,Discretionary Reserve Funds,Transportation services : Transit,,,,
slc.60.5220.03,60,5220,3,Reserves,Transportation services : Transit,,,,
slc.60.5221.01,60,5221,1,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Parking,,,,
slc.60.5221.02,60,5221,2,Discretionary Reserve Funds,Transportation services : Parking,,,,
slc.60.5221.03,60,5221,3,Reserves,Transportation services : Parking,,,,
slc.60.5222.01,60,5222,1,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Street lighting,,,,
slc.60.5222.02,60,5222,2,Discretionary Reserve Funds,Transportation services : Street lighting,,,,
slc.60.5222.03,60,5222,3,Reserves,Transportation services : Street lighting,,,,
slc.60.5223.01,60,5223,1,"Obligatory Reserve Funds, Deferred Revenue",Transportation services : Air transportation,,,,
slc.60.5223.02,60,5223,2,Discretionary Reserve Funds,Transportation services : Air transportation,,,,
slc.60.5223.03,60,5223,3,Reserves,Transportation services : Air transportation,,,,
slc.60.5225.01,60,5225,1,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Wastewater system,,,,
slc.60.5225.02,60,5225,2,Discretionary Reserve Funds,Environmental services : Wastewater system,,,,
slc.60.5225.03,60,5225,3,Reserves,Environmental services : Wastewater system,,,,
slc.60.5230.01,60,5230,1,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Storm water system,,,,
slc.60.5230.02,60,5230,2,Discretionary Reserve Funds,Environmental services : Storm water system,,,,
slc.60.5230.03,60,5230,3,Reserves,Environmental services : Storm water system,,,,
slc.60.5235.01,60,5235,1,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Waterworks system,,,,
slc.60.5235.02,60,5235,2,Discretionary Reserve Funds,Environmental services : Waterworks system,,,,
slc.60.5235.03,60,5235,3,Reserves,Environmental services : Waterworks system,,,,
slc.60.5240.01,60,5240,1,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Solid waste collection,,,,
slc.60.5240.02,60,5240,2,Discretionary Reserve Funds,Environmental services : Solid waste collection,,,,
slc.60.5240.03,60,5240,3,Reserves,Environmental services : Solid waste collection,,,,
slc.60.5245.01,60,5245,1,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Solid waste disposal,,,,
slc.60.5245.02,60,5245,2,Discretionary Reserve Funds,Environmental services : Solid waste disposal,,,,
slc.60.5245.03,60,5245,3,Reserves,Environmental services : Solid waste disposal,,,,
slc.60.5246.01,60,5246,1,"Obligatory Reserve Funds, Deferred Revenue",Environmental services : Waste diversion,,,,
slc.60.5246.02,60,5246,2,Discretionary Reserve Funds,Environmental services : Waste diversion,,,,
slc.60.5246.03,60,5246,3,Reserves,Environmental services : Waste diversion,,,,
slc.60.5250.01,60,5250,1,"Obligatory Reserve Funds, Deferred Revenue",Health services,,,,
slc.60.5250.02,60,5250,2,Discretionary Reserve Funds,Health services,,,,
slc.60.5250.03,60,5250,3,Reserves,Health services,,,,
slc.60.5255.01,60,5255,1,"Obligatory Reserve Funds, Deferred Revenue",Social and family services,,,,
slc.60.5255.02,60,5255,2,Discretionary Reserve Funds,Social and family services,,,,
slc.60.5255.03,60,5255,3,Reserves,Social and family services,,,,
slc.60.5260.01,60,5260,1,"Obligatory Reserve Funds, Deferred Revenue",Social Housing,,,,
slc.60.5260.02,60,5260,2,Discretionary Reserve Funds,Social Housing,,,,
slc.60.5260.03,60,5260,3,Reserves,Social Housing,,,,
slc.60.5265.01,60,5265,1,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Parks,,,,
slc.60.5265.02,60,5265,2,Discretionary Reserve Funds,Recreation and cultural services : Parks,,,,
slc.60.5265.03,60,5265,3,Reserves,Recreation and cultural services : Parks,,,,
slc.60.5266.01,60,5266,1,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Recreation programs,,,,
slc.60.5266.02,60,5266,2,Discretionary Reserve Funds,Recreation and cultural services : Recreation programs,,,,
slc.60.5266.03,60,5266,3,Reserves,Recreation and cultural services : Recreation programs,,,,
slc.60.5271.01,60,5271,1,"Obligatory Reserve Funds, Deferred Revenue","Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.60.5271.02,60,5271,2,Discretionary Reserve Funds,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.60.5271.03,60,5271,3,Reserves,"Recreation and cultural services : Recreation facilities - Golf Course, Marina, Ski Hill",,,,
slc.60.5274.01,60,5274,1,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Recreation facilities - Other,,,,
slc.60.5274.02,60,5274,2,Discretionary Reserve Funds,Recreation and cultural services : Recreation facilities - Other,,,,
slc.60.5274.03,60,5274,3,Reserves,Recreation and cultural services : Recreation facilities - Other,,,,
slc.60.5275.01,60,5275,1,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Libraries,,,,
slc.60.5275.02,60,5275,2,Discretionary Reserve Funds,Recreation and cultural services : Libraries,,,,
slc.60.5275.03,60,5275,3,Reserves,Recreation and cultural services : Libraries,,,,
slc.60.5276.01,60,5276,1,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Museums,,,,
slc.60.5276.02,60,5276,2,Discretionary Reserve Funds,Recreation and cultural services : Museums,,,,
slc.60.5276.03,60,5276,3,Reserves,Recreation and cultural services : Museums,,,,
slc.60.5277.01,60,5277,1,"Obligatory Reserve Funds, Deferred Revenue",Recreation and cultural services : Culture services,,,,
slc.60.5277.02,60,5277,2,Discretionary Reserve Funds,Recreation and cultural services : Culture services,,,,
slc.60.5277.03,60,5277,3,Reserves,Recreation and cultural services : Culture services,,,,
slc.60.5280.01,60,5280,1,"Obligatory Reserve Funds, Deferred Revenue",Planning and development,,,,
slc.60.5280.02,60,5280,2,Discretionary Reserve Funds,Planning and development,,,,
slc.60.5280.03,60,5280,3,Reserves,Planning and development,,,,
slc.60.5290.01,60,5290,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.5290.02,60,5290,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.5290.03,60,5290,3,Reserves,Please specify,,,,
slc.60.5610.01,60,5610,1,"Obligatory Reserve Funds, Deferred Revenue",Development Charges Act - Non-discounted services,,,,
slc.60.5610.02,60,5610,2,Discretionary Reserve Funds,Development Charges Act - Non-discounted services,,,,
slc.60.5610.03,60,5610,3,Reserves,Development Charges Act - Non-discounted services,,,,
slc.60.5620.01,60,5620,1,"Obligatory Reserve Funds, Deferred Revenue",Development Charges Act - Discounted services,,,,
slc.60.5620.02,60,5620,2,Discretionary Reserve Funds,Development Charges Act - Discounted services,,,,
slc.60.5620.03,60,5620,3,Reserves,Development Charges Act - Discounted services,,,,
slc.60.5630.01,60,5630,1,"Obligatory Reserve Funds, Deferred Revenue",Lot levies,,,,
slc.60.5630.02,60,5630,2,Discretionary Reserve Funds,Lot levies,,,,
slc.60.5630.03,60,5630,3,Reserves,Lot levies,,,,
slc.60.5640.01,60,5640,1,"Obligatory Reserve Funds, Deferred Revenue",Subdivider contributions,,,,
slc.60.5640.02,60,5640,2,Discretionary Reserve Funds,Subdivider contributions,,,,
slc.60.5640.03,60,5640,3,Reserves,Subdivider contributions,,,,
slc.60.5650.01,60,5650,1,"Obligatory Reserve Funds, Deferred Revenue",Recreational land (the Planning Act),,,,
slc.60.5650.02,60,5650,2,Discretionary Reserve Funds,Recreational land (the Planning Act),,,,
slc.60.5650.03,60,5650,3,Reserves,Recreational land (the Planning Act),,,,
slc.60.5660.01,60,5660,1,"Obligatory Reserve Funds, Deferred Revenue",Parking revenues,,,,
slc.60.5660.02,60,5660,2,Discretionary Reserve Funds,Parking revenues,,,,
slc.60.5660.03,60,5660,3,Reserves,Parking revenues,,,,
slc.60.5661.01,60,5661,1,"Obligatory Reserve Funds, Deferred Revenue","Building Code Act, 1992 (Section 2.23)",,,,
slc.60.5661.02,60,5661,2,Discretionary Reserve Funds,"Building Code Act, 1992 (Section 2.23)",,,,
slc.60.5661.03,60,5661,3,Reserves,"Building Code Act, 1992 (Section 2.23)",,,,
slc.60.5670.01,60,5670,1,"Obligatory Reserve Funds, Deferred Revenue",Debenture repayment,,,,
slc.60.5670.02,60,5670,2,Discretionary Reserve Funds,Debenture repayment,,,,
slc.60.5670.03,60,5670,3,Reserves,Debenture repayment,,,,
slc.60.5680.01,60,5680,1,"Obligatory Reserve Funds, Deferred Revenue",Exchange rate stabilization,,,,
slc.60.5680.02,60,5680,2,Discretionary Reserve Funds,Exchange rate stabilization,,,,
slc.60.5680.03,60,5680,3,Reserves,Exchange rate stabilization,,,,
slc.60.5690.01,60,5690,1,"Obligatory Reserve Funds, Deferred Revenue",Gasoline Tax - Province,,,,
slc.60.5690.02,60,5690,2,Discretionary Reserve Funds,Gasoline Tax - Province,,,,
slc.60.5690.03,60,5690,3,Reserves,Gasoline Tax - Province,,,,
slc.60.5691.01,60,5691,1,"Obligatory Reserve Funds, Deferred Revenue",Gasoline Tax - Federal,,,,
slc.60.5691.02,60,5691,2,Discretionary Reserve Funds,Gasoline Tax - Federal,,,,
slc.60.5691.03,60,5691,3,Reserves,Gasoline Tax - Federal,,,,
slc.60.5692.01,60,5692,1,"Obligatory Reserve Funds, Deferred Revenue",Canada transit funding (Bill C-48),,,,
slc.60.5692.02,60,5692,2,Discretionary Reserve Funds,Canada transit funding (Bill C-48),,,,
slc.60.5692.03,60,5692,3,Reserves,Canada transit funding (Bill C-48),,,,
slc.60.5693.01,60,5693,1,"Obligatory Reserve Funds, Deferred Revenue",Building Canada Fund (BCF),,,,
slc.60.5693.02,60,5693,2,Discretionary Reserve Funds,Building Canada Fund (BCF),,,,
slc.60.5693.03,60,5693,3,Reserves,Building Canada Fund (BCF),,,,
slc.60.5695.01,60,5695,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.5695.02,60,5695,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.5695.03,60,5695,3,Reserves,Please specify,,,,
slc.60.5696.01,60,5696,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.5696.02,60,5696,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.5696.03,60,5696,3,Reserves,Please specify,,,,
slc.60.5697.01,60,5697,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.5697.02,60,5697,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.5697.03,60,5697,3,Reserves,Please specify,,,,
slc.60.5698.01,60,5698,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.5698.02,60,5698,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.5698.03,60,5698,3,Reserves,Please specify,,,,
slc.60.5699.01,60,5699,1,"Obligatory Reserve Funds, Deferred Revenue",Please specify,,,,
slc.60.5699.02,60,5699,2,Discretionary Reserve Funds,Please specify,,,,
slc.60.5699.03,60,5699,3,Reserves,Please specify,,,,
slc.60.9930.01,60,9930,1,"Obligatory Reserve Funds, Deferred Revenue",TOTAL,,,,
slc.60.9930.02,60,9930,2,Discretionary Reserve Funds,TOTAL,,,,
slc.60.9930.03,60,9930,3,Reserves,TOTAL,,,,
slc.60.9940.01,60,9940,1,"Obligatory Reserve Funds, Deferred Revenue",TOTAL revenues & surplus,,,,
slc.60.9940.02,60,9940,2,Discretionary Reserve Funds,TOTAL revenues & surplus,,,,
slc.60.9940.03,60,9940,3,Reserves,TOTAL revenues & surplus,,,,
slc.61.205.01,61,205,1,Balance January 1,General government,,,,
slc.61.205.02,61,205,2,Development Charges Proceeds - Development Charges Collected,General government,,,,
slc.61.205.03,61,205,3,Development Charges Proceeds - Interest and Investment Income,General government,,,,
slc.61.205.04,61,205,4,Development Charges Proceeds - Other Proceeds,General government,,,,
slc.61.205.05,61,205,5,Development Charges Proceeds - Credit Utilized,General government,,,,
slc.61.205.06,61,205,6,Development Charges Proceeds - Total,General government,,,,
slc.61.205.07,61,205,7,Development Charges Disbursements - To: Consolidated Statement of Operations,General government,,,,
slc.61.205.08,61,205,8,Development Charges Disbursements - To: Tangible Capital Asset Acquisition,General government,,,,
slc.61.205.09,61,205,9,Development Charges Disbursements - Other Disbursements,General government,,,,
slc.61.205.10,61,205,10,Development Charges Disbursements - Credits Provided,General government,,,,
slc.61.205.11,61,205,11,Development Charges Disbursements - Total,General government,,,,
slc.61.205.12,61,205,12,Balance December 31,General government,,,,
